"id","customer_id","status","time_invoice","time_receive","branch_id","address_receive","receiver_name","receiver_phone","pay","note"
1,"toshiko",2,"16/10/2020 15:00:00","16/10/2020 15:00:00",0,"349 Quốc Lộ 13, Khu Phố 5, P.Hiệp Bình Phước, Q.Thủ Đức, TP.HCM","Nguyễn Văn Tuấn","123456789 ",83980000,"Yêu cầu nhân viên hỗ trợ giao hàng"
2,"tu123",2,"9/10/2020 18:00:00","9/10/2020 18:00:00",1,,,,37000000,
3,"tylnhi",2,"1/9/2020 08:45:00","1/9/2020 13:00:00",0,"308 Nguyễn Thị Minh Khai, P.5, Q.3, TP.HCM","Trần Yên Thanh","248620922 ",37000000,"Yêu cầu nhân viên kỹ thuật giao hàng, giao hàng trước 15h."
4,"thanhvy",2,"15/7/2020 20:00:00","15/7/2020 20:00:00",0,"222 Trần Não, P. Bình An, Q.2, TP.HCM","Thanh Vy","772840638 ",38990000,"Yêu cầu làm sim khi giao máy"
46,"ntphong",2,"23/10/2021 01:22:03.757402","23/10/2021 01:22:03.757402",0,,,,24990000,
47,"ndtai",2,"23/10/2021 01:22:03.764669","23/10/2021 01:22:03.764669",0,,,,24990000,
48,"hltmanh",2,"23/10/2021 01:22:03.771619","23/10/2021 01:22:03.771619",0,,,,24990000,
49,"dhkhai",2,"23/10/2021 01:22:03.779623","23/10/2021 01:22:03.779623",0,,,,24990000,
50,"pmthe",2,"23/10/2021 01:22:03.787175","23/10/2021 01:22:03.787175",0,,,,24990000,
51,"nthoang",2,"23/10/2021 01:22:03.803369","23/10/2021 01:22:03.803369",0,,,,24990000,
52,"nttthuy",2,"23/10/2021 01:22:03.810106","23/10/2021 01:22:03.810106",0,,,,24990000,
53,"thanhvy",2,"23/10/2021 01:22:03.817493","23/10/2021 01:22:03.817493",0,,,,24990000,
54,"lnminh",2,"23/10/2021 01:22:03.823958","23/10/2021 01:22:03.823958",0,,,,24990000,
55,"dkhy",2,"23/10/2021 01:22:03.830947","23/10/2021 01:22:03.830947",0,,,,24990000,
56,"nhdhao",2,"23/10/2021 01:22:03.838041","23/10/2021 01:22:03.838041",0,,,,24990000,
57,"ntloc",2,"23/10/2021 01:22:03.846046","23/10/2021 01:22:03.846046",0,,,,24990000,
58,"dnmquoc",2,"23/10/2021 01:22:03.852034","23/10/2021 01:22:03.852034",0,,,,24990000,
59,"ntkduy",2,"23/10/2021 01:22:03.858264","23/10/2021 01:22:03.858264",0,,,,24990000,
60,"httam",2,"23/10/2021 01:22:03.865424","23/10/2021 01:22:03.865424",0,,,,24990000,
61,"tu123",2,"23/10/2021 01:22:03.872607","23/10/2021 01:22:03.872607",0,,,,24990000,
62,"ptttam",2,"23/10/2021 01:22:03.879061","23/10/2021 01:22:03.879061",0,,,,24990000,
63,"dhkhai",2,"23/10/2021 01:22:03.886475","23/10/2021 01:22:03.886475",0,,,,24990000,
64,"ltlong",2,"23/10/2021 01:22:03.893379","23/10/2021 01:22:03.893379",0,,,,24990000,
65,"nvan",2,"23/10/2021 01:22:03.900832","23/10/2021 01:22:03.900832",0,,,,24990000,
66,"ptkien",2,"23/10/2021 01:22:03.907233","23/10/2021 01:22:03.907233",0,,,,24990000,
67,"sssbath",2,"23/10/2021 01:22:03.91415","23/10/2021 01:22:03.91415",0,,,,24990000,
68,"lqcuong",2,"23/10/2021 01:22:03.920713","23/10/2021 01:22:03.920713",0,,,,24990000,
69,"hltmanh",2,"23/10/2021 01:22:03.928621","23/10/2021 01:22:03.928621",0,,,,24990000,
70,"ttlong",2,"23/10/2021 01:22:03.934715","23/10/2021 01:22:03.934715",0,,,,24990000,
71,"httri",2,"23/10/2021 01:22:03.94094","23/10/2021 01:22:03.94094",0,,,,24990000,
72,"hdhuy",2,"23/10/2021 01:22:03.948377","23/10/2021 01:22:03.948377",0,,,,24990000,
73,"ltsong",2,"23/10/2021 01:22:03.954365","23/10/2021 01:22:03.954365",0,,,,24990000,
105,"nhdhao",2,"23/10/2021 01:22:04.174451","23/10/2021 01:22:04.174451",0,,,,27990000,
106,"hqbao",2,"23/10/2021 01:22:04.181911","23/10/2021 01:22:04.181911",0,,,,27990000,
107,"dnmquoc",2,"23/10/2021 01:22:04.189249","23/10/2021 01:22:04.189249",0,,,,27990000,
108,"dhkhai",2,"23/10/2021 01:22:04.197325","23/10/2021 01:22:04.197325",0,,,,27990000,
109,"ndtai",2,"23/10/2021 01:22:04.203887","23/10/2021 01:22:04.203887",0,,,,27990000,
110,"ltduy",2,"23/10/2021 01:22:04.211464","23/10/2021 01:22:04.211464",0,,,,27990000,
111,"ntkanh",2,"23/10/2021 01:22:04.217696","23/10/2021 01:22:04.217696",0,,,,27990000,
112,"ttson",2,"23/10/2021 01:22:04.224123","23/10/2021 01:22:04.224123",0,,,,27990000,
113,"tu123",2,"23/10/2021 01:22:04.23264","23/10/2021 01:22:04.23264",0,,,,27990000,
114,"nthoang",2,"23/10/2021 01:22:04.238845","23/10/2021 01:22:04.238845",0,,,,27990000,
115,"dqviet",2,"23/10/2021 01:22:04.246682","23/10/2021 01:22:04.246682",0,,,,27990000,
116,"sssbath",2,"23/10/2021 01:22:04.255892","23/10/2021 01:22:04.255892",0,,,,27990000,
117,"hltmanh",2,"23/10/2021 01:22:04.263523","23/10/2021 01:22:04.263523",0,,,,27990000,
118,"nhtuan",2,"23/10/2021 01:22:04.269715","23/10/2021 01:22:04.269715",0,,,,27990000,
119,"ttlong",2,"23/10/2021 01:22:04.275787","23/10/2021 01:22:04.275787",0,,,,27990000,
120,"ltkiet",2,"23/10/2021 01:22:04.282993","23/10/2021 01:22:04.282993",0,,,,27990000,
121,"dhkhai",2,"23/10/2021 01:22:04.289111","23/10/2021 01:22:04.289111",0,,,,27990000,
122,"bndtrung",2,"23/10/2021 01:22:04.365673","23/10/2021 01:22:04.365673",0,,,,7210000,
123,"ptloc",2,"23/10/2021 01:22:04.372602","23/10/2021 01:22:04.372602",0,,,,7210000,
124,"ddnhue",2,"23/10/2021 01:22:04.3802","23/10/2021 01:22:04.3802",0,,,,7210000,
125,"tu123",2,"23/10/2021 01:22:04.386853","23/10/2021 01:22:04.386853",0,,,,7210000,
126,"nhtuan",2,"23/10/2021 01:22:04.394545","23/10/2021 01:22:04.394545",0,,,,7210000,
127,"ptkien",2,"23/10/2021 01:22:04.400404","23/10/2021 01:22:04.400404",0,,,,7210000,
128,"dqviet",2,"23/10/2021 01:22:04.406469","23/10/2021 01:22:04.406469",0,,,,7210000,
129,"pmthe",2,"23/10/2021 01:22:04.412343","23/10/2021 01:22:04.412343",0,,,,7210000,
130,"ddkhanh",2,"23/10/2021 01:22:04.419357","23/10/2021 01:22:04.419357",0,,,,7210000,
131,"ctnhung",2,"23/10/2021 01:22:04.425536","23/10/2021 01:22:04.425536",0,,,,7210000,
132,"sssbath",2,"23/10/2021 01:22:04.433023","23/10/2021 01:22:04.433023",0,,,,7210000,
133,"hqdung",2,"23/10/2021 01:22:04.439038","23/10/2021 01:22:04.439038",0,,,,7210000,
134,"hdhuy",2,"23/10/2021 01:22:04.447152","23/10/2021 01:22:04.447152",0,,,,7210000,
135,"ntphong",2,"23/10/2021 01:22:04.453665","23/10/2021 01:22:04.453665",0,,,,7210000,
136,"dkhy",2,"23/10/2021 01:22:04.460617","23/10/2021 01:22:04.460617",0,,,,7210000,
137,"mhvan",2,"23/10/2021 01:22:04.467837","23/10/2021 01:22:04.467837",0,,,,7210000,
138,"lqcuong",2,"23/10/2021 01:22:04.474385","23/10/2021 01:22:04.474385",0,,,,7210000,
139,"ttlong",2,"23/10/2021 01:22:04.482049","23/10/2021 01:22:04.482049",0,,,,7210000,
140,"nvan",2,"23/10/2021 01:22:04.48907","23/10/2021 01:22:04.48907",0,,,,7210000,
141,"hqbao",2,"23/10/2021 01:22:04.495811","23/10/2021 01:22:04.495811",0,,,,7210000,
142,"ntloc",2,"23/10/2021 01:22:04.502311","23/10/2021 01:22:04.502311",0,,,,7210000,
143,"ntkanh",2,"23/10/2021 01:22:04.508476","23/10/2021 01:22:04.508476",0,,,,7210000,
144,"lmquy",2,"23/10/2021 01:22:04.516639","23/10/2021 01:22:04.516639",0,,,,7210000,
145,"hnthien",2,"23/10/2021 01:22:04.523314","23/10/2021 01:22:04.523314",0,,,,7210000,
146,"ptttam",2,"23/10/2021 01:22:04.53108","23/10/2021 01:22:04.53108",0,,,,7210000,
147,"ltlong",2,"23/10/2021 01:22:04.538464","23/10/2021 01:22:04.538464",0,,,,7210000,
148,"thanhvy",2,"23/10/2021 01:22:04.545189","23/10/2021 01:22:04.545189",0,,,,7210000,
149,"lvqan",2,"23/10/2021 01:22:04.551899","23/10/2021 01:22:04.551899",0,,,,7210000,
150,"httri",2,"23/10/2021 01:22:04.55835","23/10/2021 01:22:04.55835",0,,,,7210000,
151,"httam",2,"23/10/2021 01:22:04.565952","23/10/2021 01:22:04.565952",0,,,,7210000,
